gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4442633988	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/191671577	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Corrientes	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-28.656636	-57.43246	583.0						2023-11-09T17:44	9	11	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	191671577		Marcia Morris	2023-11-21T13:50:05	CC_BY_NC_4_0	Marcia Morris	Marcia Morris			2025-07-04T14:06:10.267Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4442588725	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/191124229	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.38462	-59.707928	1.0						2023-10-22T02:04	22	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	191124229		Norberto Muzzachiodi	2023-11-15T21:53:39	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:04:38.609Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4442524636	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/191122086	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-31.38462	-59.707928	1.0						2023-10-08T23:37	8	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	191122086		Norberto Muzzachiodi	2023-11-15T21:27:35	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T13:59:23.551Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4440816756	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/190401945	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Buenos Aires	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-38.135814	-61.958746	61.0						2023-11-05T15:36	5	11	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	190401945		Michele Chiacchio	2023-11-08T14:19:22	CC_BY_NC_4_0	Francisco Gambino	Francisco Gambino			2025-07-04T14:02:08.623Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4440650567	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135114976	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		La Pampa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.380166	-65.166468	91.0						2022-07-19T17:23:15	19	7	2022	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	135114976		Santiago Vitali	2022-09-15T14:10:34	CC_BY_4_0	Santiago Vitali	Santiago Vitali			2025-07-04T13:58:32.969Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4440640611	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135114726	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		La Pampa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.380056	-65.166107	210.0						2022-07-19T16:29:36	19	7	2022	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	135114726		Santiago Vitali	2022-09-15T14:08:14	CC_BY_4_0	Santiago Vitali	Santiago Vitali			2025-07-04T14:02:17.450Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4440630615	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135114575	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		La Pampa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.381161	-65.16642	297.0						2022-07-19T16:29:34	19	7	2022	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	135114575		Santiago Vitali	2022-09-15T14:07:00	CC_BY_4_0	Santiago Vitali	Santiago Vitali			2025-07-04T14:05:34.626Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4440594617	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135114170	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		La Pampa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.380266	-65.166165	64.0						2022-07-19T17:23:04	19	7	2022	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	135114170		Santiago Vitali	2022-09-15T14:03:16	CC_BY_4_0	Santiago Vitali	Santiago Vitali			2025-07-04T14:01:36.435Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4438813465	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/189949968	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	domesticus	SUBSPECIES	Sus scrofa domesticus Linnaeus, 1758	Sus scrofa domesticus		AR		San Luis	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-33.383034	-67.147862	167.0						2023-11-03T07:35:26	3	11	2023	11374585	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	189949968		Tom French	2023-11-06T01:25:55	CC_BY_NC_4_0	Santiago J Acosta Barbero	Santiago J Acosta Barbero			2025-07-04T14:06:09.332Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4431227721	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188471668	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Neuquén	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-39.96461	-71.108048							2023-10-21T14:21:41	21	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	188471668		Nicolas Olejnik	2023-10-22T03:33:24	CC_BY_4_0	Nicolas Olejnik	Nicolas Olejnik			2025-07-04T13:59:22.783Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4431208282	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188725630	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Mendoza	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.242787	-68.587006	31.0						2023-10-22T22:40	22	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	188725630		juampifragala	2023-10-24T00:08:45	CC_BY_NC_4_0	juampifragala	juampifragala			2025-07-04T14:04:38.983Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4431090483	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187656084	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.971115	-58.732365	2464.0						2023-10-15T09:30:48	15	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	187656084		Norberto Muzzachiodi	2023-10-15T17:10:51	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:02:59.368Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4431084462	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187656031	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Entre Ríos	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-30.955234	-58.66478	2464.0						2023-10-15T09:30:48	15	10	2023	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	187656031		Norberto Muzzachiodi	2023-10-15T17:10:37	CC_BY_NC_4_0	Norberto Muzzachiodi	Norberto Muzzachiodi			2025-07-04T14:07:26.319Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4430911951	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/131670513	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		AR		Río Negro	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-41.144155	-71.179444	488.0						2022-08-20T18:30:43	20	8	2022	7705930	7705930	HUMAN_OBSERVATION	iNaturalist	Observations	131670513		Ariadna Tripaldi	2022-08-21T01:34:39	CC_BY_4_0	Ariadna Tripaldi	Ariadna Tripaldi			2025-07-04T14:03:40.678Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
